Stock Symbol,Defensive Value,Defensive,Enterprising Value,Enterprising,Overall Value
PYPL,3,1011000,3,1010010,6
RCL,2,1001000,4,1001110,6
SJM,2,1001000,4,1001110,6
SLB,2,1001000,4,1001110,6
TEL,2,1001000,4,1101010,6
TFC,2,1001000,4,1001110,6
TMO,2,1001000,4,1101010,6
TRGP,3,1001010,3,1001010,6
TXT,2,1001000,4,1101010,6
VLTO,2,1001000,4,1101010,6
VMC,2,1001000,4,1101010,6
VRTX,3,1101000,3,1100010,6
WY,2,1001000,4,1101010,6
XOM,3,1001010,3,1001010,6
ZBRA,2,1001000,4,1010110,6
ABNB,2,1001000,3,1100010,5
ADP,2,1001000,3,1001010,5
ADSK,2,1001000,3,1001010,5
AIG,2,1001000,3,1001010,5
ALL,2,1001000,3,1001010,5
AME,2,1001000,3,1001010,5
AMTM,2,1001000,3,1100010,5
AON,2,1001000,3,1001010,5
APA,2,1001000,3,1001010,5
AVGO,2,1001000,3,1001010,5
BA,2,1001000,3,1001010,5
CL,2,1001000,3,1001010,5
CME,2,1001000,3,1001010,5
CPT,2,1001000,3,1001010,5
CRWD,2,1001000,3,1100010,5
CSCO,2,1001000,3,1001010,5
CZR,3,1001010,2,1000010,5
DAL,2,1001000,3,1001010,5
DD,2,1001000,3,1001010,5
DG,2,1001000,3,1001010,5
DGX,2,1001000,3,1001010,5
DOC,2,1001000,3,1001010,5
DXCM,2,1001000,3,1010010,5
ECL,2,1001000,3,1001010,5
ED,2,1001000,3,1001010,5
EXC,2,1001000,3,1001010,5
EXR,2,1001000,3,1001010,5
FDS,2,1001000,3,1001010,5
FIS,2,1001000,3,1001010,5
GE,2,1001000,3,1001010,5
GEV,2,1001000,3,1001010,5
GPC,2,1001000,3,1001010,5
HCA,2,1001000,3,1001010,5
HLT,2,1001000,3,1001010,5
HPE,2,1001000,3,1001010,5
HPQ,2,1001000,3,1001010,5
HSY,2,1001000,3,1001010,5
IBM,2,1001000,3,1001010,5
INCY,2,1001000,3,1100010,5
INTC,2,1001000,3,1001010,5
ITW,2,1001000,3,1001010,5
J,2,1001000,3,1001010,5
JNJ,2,1001000,3,1001010,5
KKR,2,1001000,3,1001010,5
KMI,2,1001000,3,1001010,5
KO,2,1001000,3,1001010,5
LLY,2,1001000,3,1001010,5
LMT,2,1001000,3,1001010,5
LVS,2,1001000,3,1001010,5
MAR,2,1001000,3,1001010,5
MCK,2,1001000,3,1001010,5
MGM,2,1001000,3,1001010,5
MKC,2,1001000,3,1001010,5
MSI,2,1001000,3,1001010,5
NCLH,2,1001000,3,1000110,5
NOW,2,1001000,3,1010010,5
NTRS,2,1001000,3,1001010,5
O,2,1001000,3,1001010,5
ODFL,2,1001000,3,1001010,5
OMC,2,1001000,3,1001010,5
PARA,2,1001000,3,1001010,5
PAYC,2,1001000,3,1001010,5
PG,2,1001000,3,1001010,5
PH,2,1001000,3,1001010,5
PRU,2,1001000,3,1001010,5
REG,2,1001000,3,1001010,5
RTX,2,1001000,3,1001010,5
SBUX,2,1001000,3,1001010,5
SO,2,1001000,3,1001010,5
STZ,2,1001000,3,1001010,5
SW,2,1001000,3,1001010,5
SWK,2,1001000,3,1001010,5
T,2,1001000,3,1001010,5
TT,2,1001000,3,1001010,5
TTWO,2,1001000,3,1001010,5
UDR,2,1001000,3,1001010,5
VST,2,1001000,3,1001010,5
VTR,2,1001000,3,1001010,5
WBA,2,1001000,3,1001010,5
WM,2,1001000,3,1001010,5
WMT,2,1001000,3,1001010,5
WTW,2,1001000,3,1001010,5
AMZN,2,1001000,2,1000010,4
BSX,2,1001000,2,1000010,4
CBRE,2,1001000,2,1000010,4
DAY,2,1001000,2,1000010,4
DLTR,2,1001000,2,1000010,4
EW,2,1001000,2,1000010,4
FI,2,1001000,2,1000010,4
FTNT,2,1001000,2,1000010,4
GDDY,2,1001000,2,1000010,4
LYV,2,1001000,2,1000010,4
PANW,2,1001000,2,1000010,4
SOLV,2,1001000,2,1000010,4
UBER,2,1001000,2,1000010,4
WBD,2,1001000,2,1000010,4
